tp,seq_len,mbs,time
1,128,1,3.0815748199999997
1,128,2,3.4734380400000004
1,128,4,4.76003908
1,128,8,7.4223896200000015
1,128,16,12.308817600000003
1,160,1,3.20431618
1,160,2,3.8646037
1,160,4,5.2507329
1,160,8,8.196263420000003
1,160,16,14.20659344
1,224,1,3.44329762
1,224,2,4.665155220000001
1,224,4,6.7022637000000005
1,224,8,11.296032420000003
1,224,16,20.03599564
1,256,1,4.49547223
1,256,2,5.74895062
1,256,4,8.269518500000002
1,256,8,13.26983247
1,256,16,22.927301349999997
1,304,1,3.83203028
1,304,2,5.214565640000001
1,304,4,8.080577980000003
1,304,8,13.984293020000003
1,304,16,25.813939419999997
1,400,1,4.58539588
1,400,2,6.426092040000001
1,400,4,9.926643460000003
1,400,8,17.826961620000002
1,400,16,33.21117564
1,512,1,5.863664600000002
1,512,2,8.299401550000004
1,512,4,13.376456750000004
1,512,8,23.014873409999993
1,512,16,42.83381206999999
1,720,1,5.768160140000001
1,720,2,9.485158740000001
1,720,4,16.833295180000004
1,720,8,30.377021999999997
1,720,16,58.10366559999999
1,1008,1,7.436589580000002
1,1008,2,12.455267340000002
1,1008,4,22.20179154
1,1008,8,41.972401919999996
1,1008,16,80.12451284
1,1024,1,9.466470400000002
1,1024,2,14.7091456
1,1024,4,23.366037999999996
1,1024,8,43.269778699999996
1,1024,16,81.93551012000002
1,1520,1,9.827700640000002
1,1520,2,17.81595788
1,1520,4,33.1074936
1,1520,8,62.92142113999999
1,1520,16,121.77353792000002
1,2048,1,14.551039799999998
1,2048,2,23.984533200000005
1,2048,4,44.52392619999999
1,2048,8,83.97721579999998
1,2048,16,164.83301204999995
1,2752,1,16.978011720000005
1,2752,2,30.99120068
1,2752,4,58.16065961999999
1,2752,8,113.53426033999999
1,4096,1,25.169387930000003
1,4096,2,46.868171839999995
1,4096,4,88.63570345000002
1,4096,8,174.06443277999992
2,128,1,3.232656599999999
2,128,2,3.489519699999999
2,128,4,4.29976604
2,128,8,5.848314459999999
2,128,16,8.838989019999998
2,160,1,3.3995695199999996
2,160,2,3.7344031799999997
2,160,4,4.58478288
2,160,8,6.334288419999999
2,160,16,10.095970639999997
2,224,1,3.52126354
2,224,2,4.21955084
2,224,4,5.53082536
2,224,8,8.204961419999998
2,224,16,13.66035712
2,256,1,4.074936319999999
2,256,2,4.8272384
